objectid,objectid_1,loc_time,loc_year,loc_qtr,loc_no,loc_nm,sample_day,temp,ph,do_,salinity,cod,coliform_cnt,t_n,t_p,cn,cu,pb,cd,zn,cr,as_,ni,hg,phenol,no3_n,no2_n,nh3_n,din,dip,chl_a,low_do,transparency,toc,din_wqi,dip_wqi,chl_a_wqi,low_do_wqi,transparency_wqi,wqi_score,wqi_grade,gubun,timeseries,x,y
26,26,2019년 1분기,2019,1,26,LNG기지 북방,2019-02-13 8:41,1.9,7.99,11.95,31.05,1.36272,7,0.344,0.039,0,0.00097987,0.00009285,0.00002533,0.01099055,,0.00000973,0.00088881,0,0,0.1942,0.0136,0.08390389,0.29170389,0.0341,0,103.4,2,1.45,1,3,1,1,1,24,Ⅱ,인천해역,201903,163827.1581,529414.2955
27,27,2019년 1분기,2019,1,27,장봉도 서남방,2019-02-14 9:23,0.9,8,11.76,29.92,2.32464,43,0.472,0.066,0,0.00156712,0.00039323,0.00003303,0.01233439,,0.0000098,0.00059369,0,0,0.311,0.0171,0.13439128,0.46249128,0.0609,0,111.6,0.3,1.66,2,5,1,1,5,42,Ⅲ,강화해역,201903,136305.9251,553997.5815
28,28,2019년 1분기,2019,1,28,덕적도 서방,2019-02-12 13:05,3.6,8,10.89,31.93,1.76352,5,0.191,0.063,0,0.00115663,0.0003298,0.00003894,0.01003328,,0.00001289,0.00045858,0.00002,0,0.1623,0.0091,0.01911288,0.19051288,0.0554,0,102.4,0.4,1.28,1,5,1,1,5,40,Ⅲ,인천해역,201903,116582.3923,517603.9209
29,29,2019년 1분기,2019,1,29,대이작도 동북방,2019-02-12 12:44,3.9,7.97,10.94,32.01,1.72344,1,0.188,0.045,0,0.00132975,0.00030337,0.00003727,0.00898511,,0.00001263,0.00049826,0,0,0.1602,0.0093,0.01603775,0.18553775,0.0443,0,101.6,0.8,1.09,1,4,1,1,3,32,Ⅱ,인천해역,201903,125886.7203,519058.2249
30,30,2019년 1분기,2019,1,30,선갑도 북방,2019-02-12 13:48,2.9,8.02,10.96,31.69,0.44088,2,0.215,0.046,0,0.00083764,0.00016675,0.00001872,0.00971508,,0.00001144,0.00025068,0,0,0.164,0.0114,0.01255964,0.18795964,0.0447,0,100.7,0.7,1.12,1,4,1,1,4,35,Ⅲ,인천해역,201903,123090.5883,506997.3307
31,31,2019년 1분기,2019,1,31,석모도 서방,2019-02-14 10:12,0.9,7.99,11.86,28.87,1.32264,66,0.677,0.096,0,0.00167262,0.00068564,0.00003551,0.01051399,,0.00001308,0.00067868,0.00014,0,0.4322,0.0399,0.14553227,0.61763227,0.0759,2.044,112.4,0.2,2.2,4,5,1,1,5,46,Ⅲ,강화해역,201903,134720.0093,567576.4563
32,32,2019년 1분기,2019,1,32,장봉도 남동방,2019-02-12 10:59,2.8,7.87,11.22,30.94,0.48096,2,0.391,0.046,0,0.00132233,0.00015974,0.00003551,0.00976773,,0.00001431,0.00056645,0,0,0.2615,0.0132,0.10321758,0.37791758,0.0456,0,100.8,0.8,1.06,1,5,1,1,3,34,Ⅲ,인천해역,201903,147192.8489,545103.3001
33,33,2019년 1분기,2019,1,33,덕적도 서북방,2019-02-12 13:23,3.6,7.97,11.08,32.01,0.92184,2,0.249,0.069,0,0.00169985,0.00036605,0.00003392,0.01003485,,0.00001221,0.00048968,0,0,0.1382,0.0013,0.00950603,0.19106693,0.0597,0,101.6,0.5,1.61,1,5,1,1,5,40,Ⅲ,인천해역,201903,111999.9565,510713.2939
34,34,2019년 1분기,2019,1,2,만석동 영종도 중간,2019-02-13 9:34,0.6,8.1,12,29.84,1.4028,23,0.558,0.044,0,0.00192074,0.00019719,0.00005266,0.00964237,,0.0000068,0.00138212,0,0,0.1731,0.0189,0.21141564,0.40341564,0.0361,0.304,101.7,1.6,1.48,1,3,1,1,1,24,Ⅱ,인천해역,201903,164602.3001,543901.1315
35,35,2018년 4분기,2018,4,31,석모도 서방,2018-10-31,13.2,7.88,8.66,27.35,1.2,360,0.909,0.055,0,0,0,0,0.002,,0,0,0,0,0.776,0.006,0.0192,0.8012,0.05,0,106.5,0.4,1.96,5,5,1,1,5,48,Ⅳ,강화해역,201812,134720.0093,567576.4563
